BECA CARTER HOLLINGS & FERNER (S.E.ASIA) PTE LTD,
BUZZCITY PTE LTD,
BEATRON AGENCIES SINGAPORE PTE LTD,
BROTZEIT PTE LTD,
BILLION COMMODITIES PTE LTD,
BIRMINGHAM BUSINESS SCHOOL PTE LTD,
BHG (SINGAPORE) PTE LTD,
BIAN HIN CO (S) PTE LTD,
BROTHER INTERNATIONAL SINGAPORE PTE LTD,
BONVESTS HOLDINGS LTD,
B B ENERGY (ASIA) PTE LTD,
BROADCAST PROFESSIONAL PTE LTD,
BIL ASIA SINGAPORE LIMITED,
BALDWIN BOYLE SHAND LTD,
BESTOFIRE & THERMAL PTE LTD,www.bestofire.com.sg
BLUE FLASH PTE LTD,
BIELOMATIK FAR EAST PTE LTD,
BANSHING INDUSTRIAL CO (PTE) LTD,
BAN SOON PAWNSHOP PTE LTD,
BENTEC P&R ENGINEERING PTE LTD,
BROADWAY HOTEL (PTE) LTD,
BECTON DICKINSON & CO,
BIO-RAD LABORATORIES (SINGAPORE) PTE LTD,
BBDO SINGAPORE PTE LTD,
BRAYPRINT (S) PTE LTD,
BROADWAY INDUSTRIAL GROUP LTD,
BOSTON SCIENTIFIC ASIA PACIFIC PTE LTD,
BANK OF AMERICA SINGAPORE LTD,
BATAMINDO SHIPPING & WAREHOUSING PTE LTD,
B.M. NAGANO PTE LTD,
BRAID LOGISTICS ASIA PTE LTD,
BROSON CATERING PTE LTD,
BUGIS STREET DEVELOPMENT PTE LTD,
BOLSEN CEMENT PRODUCTS PTE LTD,
BIG BOOKSHOP PTE LTD,
BPL ENGINEERING & CONSTRUCTION PTE LTD,
BAOSTEEL SINGAPORE PTE LTD,
BAKRI TRADING CO (ASIA) PTE LTD,
BREL SOFTWARE PTE LTD,
BUSINESS EXCELLENCE CONSULTANTS PTE LTD,
BULLIONSTAR PTE LTD,
BANK OF SINGAPORE LIMITED,
BLACK & VEATCH (SEA) PTE LTD,
BAKER HUGHES INTEQ,
BAXTER HEALTHCARE (ASIA) PTE LTD,
BH GLOBAL CORPORATION LIMITED,
BENG TAT TRANSPORT SERVICE,
BUREAU VERITAS MARINE (SINGAPORE) PTE LTD,
BIO-REV PTE LTD,
BAYSWATER SHIPPING & FORWARDING PTE LTD,
BEAUTY GOLDSMITHS & JEWELLERS (PTE) LTD,
BINTER & CO PTE LTD,
BEAULIEU HOUSE RESTAURANT,
BORNEO MOTORS (S) PTE LTD,
BAUMANN SPRING COMPANY (S) PTE LTD,
BOK SENG INDUSTRIAL SUPPLY PTE LTD,
BOON & CO (PTE) LTD,
BAN CHOON MARKETING PTE LTD,
BESTA DIGITECH PTE LTD,
BILCON INDUSTRIES PTE LTD,
BANK OF BARODA,www.bankofbaroda.com.sg
BUILD-MAX CONSTRUCTION PTE LTD,
B+H EQUIMAR SINGAPORE PTE LTD,
BOUSTEAD SALCON WATER SOLUTIONS PTE LTD,
BUNGE AGRIBUSINESS SINGAPORE PTE LTD,
BOC AVIATION PTE LTD,
"BANK OF NEW YORK MELLON, THE",
BEST DENKI (SINGAPORE) PTE LTD,
BEE KONG ELECTRICAL ENGINEERING PTE LTD,
BEYONICS PRECISION STAMPINGS PTE LTD,
BRENTAPAC INTERNATIONAL PTE LTD,
BOARD OF ARCHITECTS,
BELL HELICOPTER ASIA (PTE) LTD,
BAN TECK HAN ENTERPRISE CO PTE LTD,
BORDEN CO PTE LTD,
BUDGET ACCOUNTS PTE LTD,
B.B.S. ACCESS PTE LTD,
BEE GUAN CONSTRUCTION PTE LTD,
BIMAN BANGLADESH AIRLINES,
BESQUIP (SINGAPORE) PTE LTD,
BOON LAY STATIONERY PTE LTD,
BARCLAYS BANK PLC,
BHP BILLITON MARKETING ASIA PTE LTD,
BENEL SINGAPORE PTE LTD,
BELDEN SINGAPORE PTE LTD,
BROOKFIELD GLOBAL RELOCATION SERVICES PTE LTD,
BROADCOM ASIA DISTRIBUTION PTE LTD,
BURKERT CONTROMATIC SINGAPORE PTE LTD,
BIC PRODUCT (SINGAPORE) PTE LTD,
BAUER TECHNOLOGIES FAR EAST PTE LTD,
BREADTALK PTE LTD,
BK STARWOOD PTE LTD,
BAYVIEW HOTEL SINGAPORE,
BTI CONSULTANTS PTE LTD,
BELDEN ELECTRONICS (S) PTE LTD,
BUKIT SEMBAWANG ESTATES LTD,
BIG BUBBLE CENTRE,
BMW ASIA PTE LTD,
BECHTRANS INTERNATIONAL (S) PTE LTD,
BIO-PACKAGING PTE LTD,
BANK OF TAIWAN,
BEE CHENG HIANG HUP CHONG FOODSTUFF PTE LTD,
BEN LINE AGENCIES (S) PTE LTD,
BRILLIANT GENERAL BUILDING CONSTRUCTION PTE LTD,
BASF SOUTH EAST ASIA PTE LTD,
BAKER & MCKENZIE•WONG & LEOW,
BLUE OCEAN RESOURCES PTE LTD,
BT GLOBAL SOLUTIONS PTE LTD,
BRISTAR INDUSTRIES PTE LTD,
BARWIL AGENCIES PTE LTD,
BETTER COMPUTING SERVICE PTE LTD,
BATTERY POWER INTERNATIONAL PTE LTD,
BES TECHNOLOGY PTE LTD,
BOSTON PLASTICS (SHANGHAI) PTE LTD,
BULK TRADE PTE LTD,
BESCOM COMPUTER SYSTEMS PTE LTD,
BREADTALK GROUP LIMITED,
BEDOK TRANSPORT PTE LTD,www.bedoktransport.com
BENG HUI MARINE ELECTRICAL PTE LTD,
BRISTOL-MYERS SQUIBB (SINGAPORE) PTE LTD,
"BANK OF AMERICA, N.A.",
BRP MANAGEMENT ASSOCIATES PTE LTD,
B & JO ENTERPRISE PTE LTD,
BRITISH-AMERICAN TOBACCO (SINGAPORE) PTE LTD,
BRENNTAG PTE LTD,
BUILDTECH CONSTRUCTION PTE. LTD.,View Map
BRIDGESTONE SINGAPORE PTE LTD,
BENIMIX ENTERPRISES PTE LTD,
BW MARITIME PTE LTD,
BOND PROPERTIES PTE LTD,
BJ HYDRAULIC,
BHG HOLDINGS PTE LTD,
BRIGHTON MAINTENANCE & CLEANING SERVICES,
BRIGHTOIL PETROLEUM (SINGAPORE) PTE LTD,
"BANK OF NOVA SCOTIA ASIA LTD, THE",
BAND-IT CLAMPS (ASIA) PTE LTD,
BUSINESS QUALITY CONSULTANTS,
BRITOIL OFFSHORE SERVICES PTE LTD,
BRIQ PTE LTD,
BAKER HUGHES SINGAPORE PTE LTD,
BUSCH VACUUM SINGAPORE PTE LTD,
BRITISH AND MALAYAN TRUSTEES LTD,
BOON LAY GEMS PTE LTD,
BRADFORD-REX SCHOOL OF HOSPITALITY AND MANAGEMENT,
BUNKER HOUSE PETROLEUM PTE LTD,
BH FRESH FOOD PTE LTD,
BYSTRONIC PTE LTD,
BANYAN TREE HOLDINGS LTD,
BOROUGE PTE LTD,
BOND INSTRUMENTATION (S) PTE LTD,
BRIDGESTONE ASIA PACIFIC PTE LTD,
BT SINGAPORE PTE LTD,
